line,date,product_variant,planned_units
Line A,2026-05-03,Standard,51
Line B,2026-05-03,Standard,49
Line A,2026-05-04,Standard,49
Line B,2026-05-04,Standard,49
Line A,2026-05-05,Pro,29
Line B,2026-05-05,Standard,46
Line A,2026-05-06,Pro,29
Line B,2026-05-06,Standard,43
Line A,2026-05-07,Pro,32
Line B,2026-05-07,Standard,44
Line A,2026-05-08,Pro,35
Line B,2026-05-08,Standard,43
Line A,2026-05-09,Standard,52
Line B,2026-05-09,Standard,47
Line A,2026-05-10,Standard,43
Line B,2026-05-10,Standard,46
Line A,2026-05-11,Pro,28
Line B,2026-05-11,Pro,35
Line A,2026-05-12,Pro,32
Line B,2026-05-12,Standard,44
Line A,2026-05-13,Standard,52
Line B,2026-05-13,Standard,50
Line A,2026-05-14,Pro,35
Line B,2026-05-14,Standard,42
Line A,2026-05-15,Pro,32
Line B,2026-05-15,Standard,45
Line A,2026-05-16,Standard,48
Line B,2026-05-16,Standard,50
Line A,2026-05-17,Pro,33
Line B,2026-05-17,Standard,47
Line A,2026-05-18,Standard,42
Line B,2026-05-18,Standard,44
Line A,2026-05-19,Standard,49
Line B,2026-05-19,Standard,50
Line A,2026-05-20,Pro,33
Line B,2026-05-20,Standard,42
Line A,2026-05-21,Pro,30
Line B,2026-05-21,Pro,36
Line A,2026-05-22,Pro,29
Line B,2026-05-22,Pro,32
Line A,2026-05-23,Standard,49
Line B,2026-05-23,Standard,52
Line A,2026-05-24,Pro,28
Line B,2026-05-24,Standard,43
Line A,2026-05-25,Pro,31
Line B,2026-05-25,Standard,46
Line A,2026-05-26,Pro,32
Line B,2026-05-26,Standard,50
Line A,2026-05-27,Standard,44
Line B,2026-05-27,Standard,47
Line A,2026-05-28,Standard,45
Line B,2026-05-28,Standard,44
Line A,2026-05-29,Standard,48
Line B,2026-05-29,Pro,33
Line A,2026-05-30,Pro,34
Line B,2026-05-30,Standard,45
Line A,2026-05-31,Standard,49
Line B,2026-05-31,Standard,50
Line A,2026-06-01,Standard,43
Line B,2026-06-01,Pro,36
Line A,2026-06-02,Pro,30
Line B,2026-06-02,Standard,50
Line A,2026-06-03,Pro,35
Line B,2026-06-03,Standard,47
Line A,2026-06-04,Pro,34
Line B,2026-06-04,Standard,52
Line A,2026-06-05,Pro,36
Line B,2026-06-05,Pro,31
Line A,2026-06-06,Standard,46
Line B,2026-06-06,Standard,51
Line A,2026-06-07,Standard,44
Line B,2026-06-07,Standard,45
Line A,2026-06-08,Pro,34
Line B,2026-06-08,Standard,45
Line A,2026-06-09,Pro,36
Line B,2026-06-09,Standard,48
Line A,2026-06-10,Pro,32
Line B,2026-06-10,Standard,45
Line A,2026-06-11,Pro,34
Line B,2026-06-11,Pro,31
Line A,2026-06-12,Standard,47
Line B,2026-06-12,Pro,36
Line A,2026-06-13,Pro,34
Line B,2026-06-13,Standard,49
Line A,2026-06-14,Pro,31
Line B,2026-06-14,Standard,47
Line A,2026-06-15,Standard,44
Line B,2026-06-15,Standard,42
Line A,2026-06-16,Pro,29
Line B,2026-06-16,Standard,42
Line A,2026-06-17,Pro,30
Line B,2026-06-17,Standard,46
Line A,2026-06-18,Pro,30
Line B,2026-06-18,Pro,35
Line A,2026-06-19,Standard,45
Line B,2026-06-19,Pro,32
Line A,2026-06-20,Pro,31
Line B,2026-06-20,Standard,45
Line A,2026-06-21,Standard,42
Line B,2026-06-21,Pro,33
Line A,2026-06-22,Pro,35
Line B,2026-06-22,Standard,49
Line A,2026-06-23,Pro,30
Line B,2026-06-23,Pro,33
Line A,2026-06-24,Pro,32
Line B,2026-06-24,Standard,47
Line A,2026-06-25,Pro,32
Line B,2026-06-25,Standard,43
Line A,2026-06-26,Pro,28
Line B,2026-06-26,Pro,31
Line A,2026-06-27,Pro,30
Line B,2026-06-27,Pro,29
Line A,2026-06-28,Pro,34
Line B,2026-06-28,Pro,31
Line A,2026-06-29,Pro,36
Line B,2026-06-29,Standard,49
Line A,2026-06-30,Standard,47
Line B,2026-06-30,Standard,45
