record_id,line,product_variant,unit_id,date,defect_found,defect_type
D005075,Line B,Standard,LineB-STA-00075,2026-04-01,FALSE,
D005144,Line B,Standard,LineB-STA-00144,2026-04-01,FALSE,
D005220,Line B,Standard,LineB-STA-00220,2026-04-01,FALSE,
D005471,Line B,Standard,LineB-STA-00471,2026-04-01,FALSE,
D005551,Line B,Standard,LineB-STA-00551,2026-04-01,FALSE,
D005615,Line B,Standard,LineB-STA-00615,2026-04-01,FALSE,
D005624,Line B,Standard,LineB-STA-00624,2026-04-01,FALSE,
D005687,Line B,Standard,LineB-STA-00687,2026-04-01,FALSE,
D005776,Line B,Standard,LineB-STA-00776,2026-04-01,FALSE,
D005956,Line B,Standard,LineB-STA-00956,2026-04-01,FALSE,
D005973,Line B,Standard,LineB-STA-00973,2026-04-01,FALSE,
D006014,Line B,Standard,LineB-STA-01014,2026-04-01,FALSE,
D006091,Line B,Standard,LineB-STA-01091,2026-04-01,FALSE,
D006204,Line B,Standard,LineB-STA-01204,2026-04-01,FALSE,
D006328,Line B,Standard,LineB-STA-01328,2026-04-01,FALSE,
D006403,Line B,Standard,LineB-STA-01403,2026-04-01,FALSE,
D006626,Line B,Standard,LineB-STA-01626,2026-04-01,FALSE,
D006654,Line B,Standard,LineB-STA-01654,2026-04-01,FALSE,
D006719,Line B,Standard,LineB-STA-01719,2026-04-01,FALSE,
D006882,Line B,Standard,LineB-STA-01882,2026-04-01,FALSE,
D006972,Line B,Standard,LineB-STA-01972,2026-04-01,FALSE,
D007063,Line B,Standard,LineB-STA-02063,2026-04-01,FALSE,
D007228,Line B,Standard,LineB-STA-02228,2026-04-01,FALSE,
D007602,Line B,Standard,LineB-STA-02602,2026-04-01,FALSE,
D007668,Line B,Standard,LineB-STA-02668,2026-04-01,FALSE,
D007671,Line B,Standard,LineB-STA-02671,2026-04-01,FALSE,
D007833,Line B,Standard,LineB-STA-02833,2026-04-01,FALSE,
D007990,Line B,Standard,LineB-STA-02990,2026-04-01,FALSE,
D007992,Line B,Standard,LineB-STA-02992,2026-04-01,FALSE,
D008325,Line B,Standard,LineB-STA-03325,2026-04-01,FALSE,
D008352,Line B,Standard,LineB-STA-03352,2026-04-01,FALSE,
D008383,Line B,Standard,LineB-STA-03383,2026-04-01,FALSE,
D008572,Line B,Standard,LineB-STA-03572,2026-04-01,FALSE,
D008742,Line B,Standard,LineB-STA-03742,2026-04-01,FALSE,
D008754,Line B,Standard,LineB-STA-03754,2026-04-01,FALSE,
D008830,Line B,Standard,LineB-STA-03830,2026-04-01,FALSE,
D008835,Line B,Standard,LineB-STA-03835,2026-04-01,FALSE,
D008912,Line B,Standard,LineB-STA-03912,2026-04-01,FALSE,
D008990,Line B,Standard,LineB-STA-03990,2026-04-01,FALSE,
D009021,Line B,Standard,LineB-STA-04021,2026-04-01,FALSE,
D009159,Line B,Standard,LineB-STA-04159,2026-04-01,FALSE,
D009348,Line B,Pro,LineB-PRO-00098,2026-04-01,TRUE,component_misalignment
D009372,Line B,Pro,LineB-PRO-00122,2026-04-01,FALSE,
D009421,Line B,Pro,LineB-PRO-00171,2026-04-01,FALSE,
D009428,Line B,Pro,LineB-PRO-00178,2026-04-01,FALSE,
D009488,Line B,Pro,LineB-PRO-00238,2026-04-01,FALSE,
D009556,Line B,Pro,LineB-PRO-00306,2026-04-01,FALSE,
D009565,Line B,Pro,LineB-PRO-00315,2026-04-01,FALSE,
D009654,Line B,Pro,LineB-PRO-00404,2026-04-01,FALSE,
D009682,Line B,Pro,LineB-PRO-00432,2026-04-01,FALSE,
D009715,Line B,Pro,LineB-PRO-00465,2026-04-01,FALSE,
D009741,Line B,Pro,LineB-PRO-00491,2026-04-01,FALSE,
D009781,Line B,Pro,LineB-PRO-00531,2026-04-01,FALSE,
D009852,Line B,Pro,LineB-PRO-00602,2026-04-01,FALSE,
D009861,Line B,Pro,LineB-PRO-00611,2026-04-01,FALSE,
D009962,Line B,Pro,LineB-PRO-00712,2026-04-01,FALSE,
D010008,Line B,Pro,LineB-PRO-00758,2026-04-01,FALSE,
D000089,Line A,Standard,LineA-STA-00089,2026-04-02,FALSE,
D000314,Line A,Standard,LineA-STA-00314,2026-04-02,FALSE,
D000338,Line A,Standard,LineA-STA-00338,2026-04-02,FALSE,
D000370,Line A,Standard,LineA-STA-00370,2026-04-02,FALSE,
D000619,Line A,Standard,LineA-STA-00619,2026-04-02,FALSE,
D000702,Line A,Standard,LineA-STA-00702,2026-04-02,FALSE,
D000720,Line A,Standard,LineA-STA-00720,2026-04-02,FALSE,
D000765,Line A,Standard,LineA-STA-00765,2026-04-02,FALSE,
D000874,Line A,Standard,LineA-STA-00874,2026-04-02,FALSE,
D001158,Line A,Standard,LineA-STA-01158,2026-04-02,FALSE,
D001349,Line A,Standard,LineA-STA-01349,2026-04-02,FALSE,
D001350,Line A,Standard,LineA-STA-01350,2026-04-02,FALSE,
D001375,Line A,Standard,LineA-STA-01375,2026-04-02,FALSE,
D001446,Line A,Standard,LineA-STA-01446,2026-04-02,FALSE,
D001498,Line A,Standard,LineA-STA-01498,2026-04-02,FALSE,
D001502,Line A,Standard,LineA-STA-01502,2026-04-02,FALSE,
D001543,Line A,Standard,LineA-STA-01543,2026-04-02,FALSE,
D001579,Line A,Standard,LineA-STA-01579,2026-04-02,FALSE,
D001603,Line A,Standard,LineA-STA-01603,2026-04-02,FALSE,
D001702,Line A,Standard,LineA-STA-01702,2026-04-02,FALSE,
D001913,Line A,Standard,LineA-STA-01913,2026-04-02,FALSE,
D002090,Line A,Standard,LineA-STA-02090,2026-04-02,FALSE,
D002226,Line A,Standard,LineA-STA-02226,2026-04-02,FALSE,
D002230,Line A,Standard,LineA-STA-02230,2026-04-02,FALSE,
D002278,Line A,Pro,LineA-PRO-00028,2026-04-02,FALSE,
D002344,Line A,Pro,LineA-PRO-00094,2026-04-02,FALSE,
D002383,Line A,Pro,LineA-PRO-00133,2026-04-02,FALSE,
D002433,Line A,Pro,LineA-PRO-00183,2026-04-02,FALSE,
D002467,Line A,Pro,LineA-PRO-00217,2026-04-02,FALSE,
D002469,Line A,Pro,LineA-PRO-00219,2026-04-02,FALSE,
D002471,Line A,Pro,LineA-PRO-00221,2026-04-02,FALSE,
D002657,Line A,Pro,LineA-PRO-00407,2026-04-02,FALSE,
D002849,Line A,Pro,LineA-PRO-00599,2026-04-02,FALSE,
D002876,Line A,Pro,LineA-PRO-00626,2026-04-02,FALSE,
D003140,Line A,Pro,LineA-PRO-00890,2026-04-02,FALSE,
D003270,Line A,Pro,LineA-PRO-01020,2026-04-02,FALSE,
D003358,Line A,Pro,LineA-PRO-01108,2026-04-02,FALSE,
D003420,Line A,Pro,LineA-PRO-01170,2026-04-02,FALSE,
D003806,Line A,Pro,LineA-PRO-01556,2026-04-02,FALSE,
D003902,Line A,Pro,LineA-PRO-01652,2026-04-02,FALSE,
D003939,Line A,Pro,LineA-PRO-01689,2026-04-02,FALSE,
D004220,Line A,Pro,LineA-PRO-01970,2026-04-02,FALSE,
D004242,Line A,Pro,LineA-PRO-01992,2026-04-02,FALSE,
D004280,Line A,Pro,LineA-PRO-02030,2026-04-02,FALSE,
D004448,Line A,Pro,LineA-PRO-02198,2026-04-02,FALSE,
D004859,Line A,Pro,LineA-PRO-02609,2026-04-02,TRUE,component_misalignment
D004881,Line A,Pro,LineA-PRO-02631,2026-04-02,FALSE,
D004887,Line A,Pro,LineA-PRO-02637,2026-04-02,TRUE,firmware_flash_fail
D005199,Line B,Standard,LineB-STA-00199,2026-04-02,FALSE,
D005351,Line B,Standard,LineB-STA-00351,2026-04-02,FALSE,
D005383,Line B,Standard,LineB-STA-00383,2026-04-02,FALSE,
D005495,Line B,Standard,LineB-STA-00495,2026-04-02,FALSE,
D005513,Line B,Standard,LineB-STA-00513,2026-04-02,FALSE,
D005544,Line B,Standard,LineB-STA-00544,2026-04-02,FALSE,
D005574,Line B,Standard,LineB-STA-00574,2026-04-02,FALSE,
D005681,Line B,Standard,LineB-STA-00681,2026-04-02,FALSE,
D005695,Line B,Standard,LineB-STA-00695,2026-04-02,FALSE,
D005754,Line B,Standard,LineB-STA-00754,2026-04-02,FALSE,
D005800,Line B,Standard,LineB-STA-00800,2026-04-02,FALSE,
D005892,Line B,Standard,LineB-STA-00892,2026-04-02,FALSE,
D006055,Line B,Standard,LineB-STA-01055,2026-04-02,TRUE,component_misalignment
D006063,Line B,Standard,LineB-STA-01063,2026-04-02,FALSE,
D006238,Line B,Standard,LineB-STA-01238,2026-04-02,FALSE,
D006502,Line B,Standard,LineB-STA-01502,2026-04-02,FALSE,
D006528,Line B,Standard,LineB-STA-01528,2026-04-02,FALSE,
D006545,Line B,Standard,LineB-STA-01545,2026-04-02,FALSE,
D006615,Line B,Standard,LineB-STA-01615,2026-04-02,FALSE,
D006886,Line B,Standard,LineB-STA-01886,2026-04-02,FALSE,
D006999,Line B,Standard,LineB-STA-01999,2026-04-02,FALSE,
D007050,Line B,Standard,LineB-STA-02050,2026-04-02,FALSE,
D007119,Line B,Standard,LineB-STA-02119,2026-04-02,FALSE,
D007127,Line B,Standard,LineB-STA-02127,2026-04-02,FALSE,
D007329,Line B,Standard,LineB-STA-02329,2026-04-02,FALSE,
D007496,Line B,Standard,LineB-STA-02496,2026-04-02,FALSE,
D007670,Line B,Standard,LineB-STA-02670,2026-04-02,FALSE,
D007826,Line B,Standard,LineB-STA-02826,2026-04-02,FALSE,
D007861,Line B,Standard,LineB-STA-02861,2026-04-02,FALSE,
D007870,Line B,Standard,LineB-STA-02870,2026-04-02,FALSE,
D007938,Line B,Standard,LineB-STA-02938,2026-04-02,FALSE,
D008133,Line B,Standard,LineB-STA-03133,2026-04-02,FALSE,
D008253,Line B,Standard,LineB-STA-03253,2026-04-02,FALSE,
D008302,Line B,Standard,LineB-STA-03302,2026-04-02,FALSE,
D008303,Line B,Standard,LineB-STA-03303,2026-04-02,FALSE,
D008447,Line B,Standard,LineB-STA-03447,2026-04-02,FALSE,
D008495,Line B,Standard,LineB-STA-03495,2026-04-02,FALSE,
D008601,Line B,Standard,LineB-STA-03601,2026-04-02,FALSE,
D008808,Line B,Standard,LineB-STA-03808,2026-04-02,FALSE,
D008867,Line B,Standard,LineB-STA-03867,2026-04-02,FALSE,
D008896,Line B,Standard,LineB-STA-03896,2026-04-02,FALSE,
D009054,Line B,Standard,LineB-STA-04054,2026-04-02,FALSE,
D009120,Line B,Standard,LineB-STA-04120,2026-04-02,FALSE,
D009241,Line B,Standard,LineB-STA-04241,2026-04-02,FALSE,
D009245,Line B,Standard,LineB-STA-04245,2026-04-02,FALSE,
D009366,Line B,Pro,LineB-PRO-00116,2026-04-02,FALSE,
D009459,Line B,Pro,LineB-PRO-00209,2026-04-02,FALSE,
D009746,Line B,Pro,LineB-PRO-00496,2026-04-02,FALSE,
D009797,Line B,Pro,LineB-PRO-00547,2026-04-02,FALSE,
D009924,Line B,Pro,LineB-PRO-00674,2026-04-02,FALSE,
D000071,Line A,Standard,LineA-STA-00071,2026-04-03,FALSE,
D000156,Line A,Standard,LineA-STA-00156,2026-04-03,FALSE,
D000190,Line A,Standard,LineA-STA-00190,2026-04-03,FALSE,
D000450,Line A,Standard,LineA-STA-00450,2026-04-03,FALSE,
D000494,Line A,Standard,LineA-STA-00494,2026-04-03,FALSE,
D000514,Line A,Standard,LineA-STA-00514,2026-04-03,FALSE,
D000655,Line A,Standard,LineA-STA-00655,2026-04-03,FALSE,
D000715,Line A,Standard,LineA-STA-00715,2026-04-03,FALSE,
D000721,Line A,Standard,LineA-STA-00721,2026-04-03,FALSE,
D000726,Line A,Standard,LineA-STA-00726,2026-04-03,FALSE,
D000791,Line A,Standard,LineA-STA-00791,2026-04-03,FALSE,
D001052,Line A,Standard,LineA-STA-01052,2026-04-03,FALSE,
D001307,Line A,Standard,LineA-STA-01307,2026-04-03,FALSE,
D001443,Line A,Standard,LineA-STA-01443,2026-04-03,FALSE,
D001717,Line A,Standard,LineA-STA-01717,2026-04-03,FALSE,
D001768,Line A,Standard,LineA-STA-01768,2026-04-03,FALSE,
D001833,Line A,Standard,LineA-STA-01833,2026-04-03,FALSE,
D001845,Line A,Standard,LineA-STA-01845,2026-04-03,FALSE,
D001944,Line A,Standard,LineA-STA-01944,2026-04-03,FALSE,
D002135,Line A,Standard,LineA-STA-02135,2026-04-03,FALSE,
D002224,Line A,Standard,LineA-STA-02224,2026-04-03,FALSE,
D002552,Line A,Pro,LineA-PRO-00302,2026-04-03,FALSE,
D002629,Line A,Pro,LineA-PRO-00379,2026-04-03,FALSE,
D002649,Line A,Pro,LineA-PRO-00399,2026-04-03,FALSE,
D002705,Line A,Pro,LineA-PRO-00455,2026-04-03,FALSE,
D002886,Line A,Pro,LineA-PRO-00636,2026-04-03,FALSE,
D002999,Line A,Pro,LineA-PRO-00749,2026-04-03,FALSE,
D003009,Line A,Pro,LineA-PRO-00759,2026-04-03,FALSE,
D003013,Line A,Pro,LineA-PRO-00763,2026-04-03,FALSE,
D003117,Line A,Pro,LineA-PRO-00867,2026-04-03,FALSE,
D003226,Line A,Pro,LineA-PRO-00976,2026-04-03,FALSE,
D003292,Line A,Pro,LineA-PRO-01042,2026-04-03,FALSE,
D003502,Line A,Pro,LineA-PRO-01252,2026-04-03,FALSE,
D003579,Line A,Pro,LineA-PRO-01329,2026-04-03,FALSE,
D003593,Line A,Pro,LineA-PRO-01343,2026-04-03,FALSE,
D003660,Line A,Pro,LineA-PRO-01410,2026-04-03,FALSE,
D003728,Line A,Pro,LineA-PRO-01478,2026-04-03,FALSE,
D003787,Line A,Pro,LineA-PRO-01537,2026-04-03,FALSE,
D003880,Line A,Pro,LineA-PRO-01630,2026-04-03,TRUE,solder_joint
D004108,Line A,Pro,LineA-PRO-01858,2026-04-03,FALSE,
D004191,Line A,Pro,LineA-PRO-01941,2026-04-03,FALSE,
D004216,Line A,Pro,LineA-PRO-01966,2026-04-03,FALSE,
D004245,Line A,Pro,LineA-PRO-01995,2026-04-03,FALSE,
D004265,Line A,Pro,LineA-PRO-02015,2026-04-03,FALSE,
D004271,Line A,Pro,LineA-PRO-02021,2026-04-03,FALSE,
D004301,Line A,Pro,LineA-PRO-02051,2026-04-03,FALSE,
D004319,Line A,Pro,LineA-PRO-02069,2026-04-03,FALSE,
D004363,Line A,Pro,LineA-PRO-02113,2026-04-03,TRUE,housing_crack
D004511,Line A,Pro,LineA-PRO-02261,2026-04-03,FALSE,
D004696,Line A,Pro,LineA-PRO-02446,2026-04-03,FALSE,
D004701,Line A,Pro,LineA-PRO-02451,2026-04-03,FALSE,
D004715,Line A,Pro,LineA-PRO-02465,2026-04-03,FALSE,
D004775,Line A,Pro,LineA-PRO-02525,2026-04-03,FALSE,
D004851,Line A,Pro,LineA-PRO-02601,2026-04-03,FALSE,
D004888,Line A,Pro,LineA-PRO-02638,2026-04-03,FALSE,
D004940,Line A,Pro,LineA-PRO-02690,2026-04-03,FALSE,
D005323,Line B,Standard,LineB-STA-00323,2026-04-03,FALSE,
D005324,Line B,Standard,LineB-STA-00324,2026-04-03,FALSE,
D005353,Line B,Standard,LineB-STA-00353,2026-04-03,FALSE,
D005382,Line B,Standard,LineB-STA-00382,2026-04-03,FALSE,
D005395,Line B,Standard,LineB-STA-00395,2026-04-03,FALSE,
D005420,Line B,Standard,LineB-STA-00420,2026-04-03,FALSE,
D005745,Line B,Standard,LineB-STA-00745,2026-04-03,FALSE,
D005798,Line B,Standard,LineB-STA-00798,2026-04-03,FALSE,
D005907,Line B,Standard,LineB-STA-00907,2026-04-03,FALSE,
D006125,Line B,Standard,LineB-STA-01125,2026-04-03,FALSE,
D006170,Line B,Standard,LineB-STA-01170,2026-04-03,FALSE,
D006207,Line B,Standard,LineB-STA-01207,2026-04-03,FALSE,
D006220,Line B,Standard,LineB-STA-01220,2026-04-03,FALSE,
D006281,Line B,Standard,LineB-STA-01281,2026-04-03,FALSE,
D006354,Line B,Standard,LineB-STA-01354,2026-04-03,FALSE,
D006365,Line B,Standard,LineB-STA-01365,2026-04-03,FALSE,
D006728,Line B,Standard,LineB-STA-01728,2026-04-03,FALSE,
D006803,Line B,Standard,LineB-STA-01803,2026-04-03,FALSE,
D006824,Line B,Standard,LineB-STA-01824,2026-04-03,FALSE,
D006836,Line B,Standard,LineB-STA-01836,2026-04-03,FALSE,
D006878,Line B,Standard,LineB-STA-01878,2026-04-03,FALSE,
D006885,Line B,Standard,LineB-STA-01885,2026-04-03,FALSE,
D006971,Line B,Standard,LineB-STA-01971,2026-04-03,FALSE,
D006991,Line B,Standard,LineB-STA-01991,2026-04-03,FALSE,
D007187,Line B,Standard,LineB-STA-02187,2026-04-03,FALSE,
D007443,Line B,Standard,LineB-STA-02443,2026-04-03,FALSE,
D007499,Line B,Standard,LineB-STA-02499,2026-04-03,FALSE,
D007560,Line B,Standard,LineB-STA-02560,2026-04-03,FALSE,
D007659,Line B,Standard,LineB-STA-02659,2026-04-03,FALSE,
D007980,Line B,Standard,LineB-STA-02980,2026-04-03,FALSE,
D008004,Line B,Standard,LineB-STA-03004,2026-04-03,FALSE,
D008037,Line B,Standard,LineB-STA-03037,2026-04-03,FALSE,
D008132,Line B,Standard,LineB-STA-03132,2026-04-03,FALSE,
D008184,Line B,Standard,LineB-STA-03184,2026-04-03,FALSE,
D008193,Line B,Standard,LineB-STA-03193,2026-04-03,FALSE,
D008219,Line B,Standard,LineB-STA-03219,2026-04-03,FALSE,
D008255,Line B,Standard,LineB-STA-03255,2026-04-03,FALSE,
D008456,Line B,Standard,LineB-STA-03456,2026-04-03,TRUE,capacitor_leak
D008462,Line B,Standard,LineB-STA-03462,2026-04-03,FALSE,
D008517,Line B,Standard,LineB-STA-03517,2026-04-03,FALSE,
D008548,Line B,Standard,LineB-STA-03548,2026-04-03,TRUE,housing_crack
D008635,Line B,Standard,LineB-STA-03635,2026-04-03,FALSE,
D008724,Line B,Standard,LineB-STA-03724,2026-04-03,FALSE,
D008853,Line B,Standard,LineB-STA-03853,2026-04-03,TRUE,connector_seating
D008877,Line B,Standard,LineB-STA-03877,2026-04-03,FALSE,
D009038,Line B,Standard,LineB-STA-04038,2026-04-03,FALSE,
D009187,Line B,Standard,LineB-STA-04187,2026-04-03,FALSE,
D009436,Line B,Pro,LineB-PRO-00186,2026-04-03,FALSE,
D009465,Line B,Pro,LineB-PRO-00215,2026-04-03,FALSE,
D009514,Line B,Pro,LineB-PRO-00264,2026-04-03,FALSE,
D009559,Line B,Pro,LineB-PRO-00309,2026-04-03,FALSE,
D009608,Line B,Pro,LineB-PRO-00358,2026-04-03,FALSE,
D009674,Line B,Pro,LineB-PRO-00424,2026-04-03,FALSE,
D009817,Line B,Pro,LineB-PRO-00567,2026-04-03,FALSE,
D009836,Line B,Pro,LineB-PRO-00586,2026-04-03,FALSE,
D009854,Line B,Pro,LineB-PRO-00604,2026-04-03,FALSE,
D009898,Line B,Pro,LineB-PRO-00648,2026-04-03,FALSE,
D000001,Line A,Standard,LineA-STA-00001,2026-04-04,FALSE,
D000013,Line A,Standard,LineA-STA-00013,2026-04-04,TRUE,screen_dead_pixel
D000166,Line A,Standard,LineA-STA-00166,2026-04-04,FALSE,
D000822,Line A,Standard,LineA-STA-00822,2026-04-04,FALSE,
D000867,Line A,Standard,LineA-STA-00867,2026-04-04,FALSE,
D000953,Line A,Standard,LineA-STA-00953,2026-04-04,FALSE,
D001025,Line A,Standard,LineA-STA-01025,2026-04-04,FALSE,
D001076,Line A,Standard,LineA-STA-01076,2026-04-04,FALSE,
D001177,Line A,Standard,LineA-STA-01177,2026-04-04,FALSE,
D001409,Line A,Standard,LineA-STA-01409,2026-04-04,FALSE,
D001514,Line A,Standard,LineA-STA-01514,2026-04-04,FALSE,
D001597,Line A,Standard,LineA-STA-01597,2026-04-04,FALSE,
D001691,Line A,Standard,LineA-STA-01691,2026-04-04,FALSE,
D001733,Line A,Standard,LineA-STA-01733,2026-04-04,FALSE,
D001781,Line A,Standard,LineA-STA-01781,2026-04-04,FALSE,
D001785,Line A,Standard,LineA-STA-01785,2026-04-04,FALSE,
D001813,Line A,Standard,LineA-STA-01813,2026-04-04,FALSE,
D001961,Line A,Standard,LineA-STA-01961,2026-04-04,FALSE,
D002001,Line A,Standard,LineA-STA-02001,2026-04-04,FALSE,
D002172,Line A,Standard,LineA-STA-02172,2026-04-04,FALSE,
D002192,Line A,Standard,LineA-STA-02192,2026-04-04,FALSE,
D002209,Line A,Standard,LineA-STA-02209,2026-04-04,FALSE,
D002370,Line A,Pro,LineA-PRO-00120,2026-04-04,FALSE,
D002484,Line A,Pro,LineA-PRO-00234,2026-04-04,FALSE,
D002620,Line A,Pro,LineA-PRO-00370,2026-04-04,TRUE,label_misprint
D002777,Line A,Pro,LineA-PRO-00527,2026-04-04,FALSE,
D002893,Line A,Pro,LineA-PRO-00643,2026-04-04,FALSE,
D003102,Line A,Pro,LineA-PRO-00852,2026-04-04,FALSE,
D003190,Line A,Pro,LineA-PRO-00940,2026-04-04,FALSE,
D003206,Line A,Pro,LineA-PRO-00956,2026-04-04,FALSE,
D003304,Line A,Pro,LineA-PRO-01054,2026-04-04,FALSE,
D003343,Line A,Pro,LineA-PRO-01093,2026-04-04,FALSE,
D003470,Line A,Pro,LineA-PRO-01220,2026-04-04,FALSE,
D003476,Line A,Pro,LineA-PRO-01226,2026-04-04,FALSE,
D003549,Line A,Pro,LineA-PRO-01299,2026-04-04,FALSE,
D003555,Line A,Pro,LineA-PRO-01305,2026-04-04,FALSE,
D003707,Line A,Pro,LineA-PRO-01457,2026-04-04,FALSE,
D003720,Line A,Pro,LineA-PRO-01470,2026-04-04,TRUE,connector_seating
D003838,Line A,Pro,LineA-PRO-01588,2026-04-04,FALSE,
D003926,Line A,Pro,LineA-PRO-01676,2026-04-04,FALSE,
D004062,Line A,Pro,LineA-PRO-01812,2026-04-04,FALSE,
D004073,Line A,Pro,LineA-PRO-01823,2026-04-04,FALSE,
D004248,Line A,Pro,LineA-PRO-01998,2026-04-04,FALSE,
D004446,Line A,Pro,LineA-PRO-02196,2026-04-04,TRUE,screen_dead_pixel
D004512,Line A,Pro,LineA-PRO-02262,2026-04-04,FALSE,
D004625,Line A,Pro,LineA-PRO-02375,2026-04-04,FALSE,
D004676,Line A,Pro,LineA-PRO-02426,2026-04-04,FALSE,
D004720,Line A,Pro,LineA-PRO-02470,2026-04-04,FALSE,
D004743,Line A,Pro,LineA-PRO-02493,2026-04-04,FALSE,
D004771,Line A,Pro,LineA-PRO-02521,2026-04-04,FALSE,
D004869,Line A,Pro,LineA-PRO-02619,2026-04-04,FALSE,
D004977,Line A,Pro,LineA-PRO-02727,2026-04-04,FALSE,
D004991,Line A,Pro,LineA-PRO-02741,2026-04-04,FALSE,
D004994,Line A,Pro,LineA-PRO-02744,2026-04-04,FALSE,
D005038,Line B,Standard,LineB-STA-00038,2026-04-04,FALSE,
D005138,Line B,Standard,LineB-STA-00138,2026-04-04,FALSE,
D005146,Line B,Standard,LineB-STA-00146,2026-04-04,FALSE,
D005284,Line B,Standard,LineB-STA-00284,2026-04-04,FALSE,
D005363,Line B,Standard,LineB-STA-00363,2026-04-04,FALSE,
D005429,Line B,Standard,LineB-STA-00429,2026-04-04,FALSE,
D005670,Line B,Standard,LineB-STA-00670,2026-04-04,FALSE,
D005711,Line B,Standard,LineB-STA-00711,2026-04-04,FALSE,
D005724,Line B,Standard,LineB-STA-00724,2026-04-04,FALSE,
D006118,Line B,Standard,LineB-STA-01118,2026-04-04,FALSE,
D006271,Line B,Standard,LineB-STA-01271,2026-04-04,FALSE,
D006344,Line B,Standard,LineB-STA-01344,2026-04-04,FALSE,
D006383,Line B,Standard,LineB-STA-01383,2026-04-04,FALSE,
D006419,Line B,Standard,LineB-STA-01419,2026-04-04,FALSE,
D006471,Line B,Standard,LineB-STA-01471,2026-04-04,FALSE,
D006496,Line B,Standard,LineB-STA-01496,2026-04-04,FALSE,
D006736,Line B,Standard,LineB-STA-01736,2026-04-04,FALSE,
D006910,Line B,Standard,LineB-STA-01910,2026-04-04,FALSE,
D006931,Line B,Standard,LineB-STA-01931,2026-04-04,FALSE,
D006936,Line B,Standard,LineB-STA-01936,2026-04-04,FALSE,
D007024,Line B,Standard,LineB-STA-02024,2026-04-04,FALSE,
D007034,Line B,Standard,LineB-STA-02034,2026-04-04,FALSE,
D007035,Line B,Standard,LineB-STA-02035,2026-04-04,FALSE,
